County,March,April,May,June,July,August,September,March_umemployment,April_umemployment,May_umemployment,June_umemployment,July_umemployment,August_umemployment,Septembe_umemployment
Adams County,0.115097833,0.12510634,0.130110594,0.47039984,1.181003853,1.306110194,1.045889006,5.7,9.1,12.1,7.3,8.8,6.1,5.1
Asotin County,0.004428306,0.075281197,0.004428306,0.013284917,0.017713223,0.132849172,0.354264458,3.7,8.9,8.3,5.5,7.3,5.5,4.8
Benton County,0.083663584,0.184451294,0.163902344,0.533783453,0.786731249,0.293556436,0.223102892,5,13.7,12.2,9.4,10.5,8.2,6.4
Chelan County,0.024611399,0.129533679,0.172279793,0.164507772,1.069948187,0.691709845,0.182642487,5.2,16.2,14.5,9.9,10,8.1,6.1
Clallam County,0.011638282,0.012931425,0.007758855,0.021983422,0.062070838,0.147418241,0.041380559,5.9,18.8,16.5,10.6,11.9,9.5,8.4
Clark County,0.030108082,0.042601912,0.040553743,0.081312303,0.204612067,0.150540409,0.176961787,4.4,14.4,14.6,10.3,11.7,9.5,8.1
Columbia County,0.025094103,0,0,0.17565872,0.125470514,0.025094103,0,5.3,11.5,10.5,7.2,8.9,6.8,5.9
Cowlitz County,0.016275894,0.037977087,0.015371678,0.11935656,0.229670956,0.087708987,0.123877641,5.7,16.4,15.4,9.9,11.4,9.4,8.4
Douglas County,0.018420871,0.170393055,0.214142624,0.211840015,1.342420963,0.695387874,0.087499137,5.9,15.1,13.4,9.5,9.8,8.4,6.2
Ferry County,0.013111315,0,0,0,0.249114986,0.091779205,0.039333945,12.6,15.2,15.8,11,12.5,9.9,9.5
Franklin County,0.053559051,0.351809456,0.331856084,1.399886581,1.45869652,0.619604713,0.39591691,6.2,13.1,12.3,10,11.3,8.7,6.6
Garfield County,0,0,0,0,0.134831461,0.04494382,0.359550562,5.8,14.2,12.6,8.2,11.2,8,7.2
Grant County,0.085948451,0.07878608,0.061391751,0.388814423,0.755118537,1.057984509,0.65586854,7,12.6,12.7,9,11.2,8.6,6.9
Grays Harbor County,0.005328999,0.010657998,0.007993499,0.021315996,0.090592984,0.201169715,0.383687934,6.8,19.3,19.1,12.2,13.6,11.1,10
Island County,0.165607639,0.037584712,0.011745223,0.017617834,0.054028024,0.032886623,0.054028024,4.6,15.8,13.7,9,10.3,8.4,7.4
Jefferson County,0.080692716,0.009310698,0.006207132,0.021724962,0.04655349,0.052760622,0.006207132,5.3,17.4,15.9,10.6,10.9,8.7,7.8
King County,0.140759292,0.154963951,0.080966556,0.112527533,0.226342362,0.168724715,0.128596553,5.6,14.9,14.4,9.6,8.3,7.2,7
Kitsap County,0.037941158,0.018049677,0.004051968,0.03425755,0.161710373,0.125242658,0.089143303,4.2,14.5,13.2,8.2,9.4,7.6,6.8
Kittitas County,0.022947742,0.022947742,0.022947742,0.022947742,0.022947742,0.022947742,0.022947742,5.5,15.9,14.2,9.2,11.7,9.6,7
Klickitat County,0.040133779,0.03567447,0.053511706,0.178372352,0.182831661,0.325529543,0.062430323,5.5,11.9,11.8,9.2,10.4,8.2,6.7
Lewis County,0.014868599,0.019824798,0.009912399,0.055757245,0.148685988,0.190813684,0.302328175,6.2,16.6,15.7,10.1,11.3,9.1,8.1
Lincoln County,0.009141603,0.009141603,0,0.018283207,0.118840845,0.137124052,0.246823293,5.6,11.5,9.9,6.5,8.2,6.3,5.4
Mason County,0.020968128,0.019470405,0.014977235,0.028456746,0.178229092,0.215672178,0.166247304,6.1,16.3,14.7,10.4,12,9.8,9.2
Okanogan County,0.011836281,0.044977866,0.071017683,0.210685794,1.657079279,0.546836162,0.033141586,7.9,14.8,13.7,9.8,11.5,9.3,7.6
Pacific County,0,0.017800721,0.022250901,0.035601442,0.111254506,0.080103244,0.124605047,6.7,17,17.1,12.4,12.8,10.8,9.5
Pend Oreille County,0,0.014573011,0.007286505,0.007286505,0.240454678,0.131157097,0.153016613,7.8,15.8,14.9,10.5,14.3,11.3,9.5
Pierce County,0.0688413,0.097902716,0.054255343,0.085416252,0.281000685,0.179119981,0.140997591,4.9,18.7,16.9,11.3,12.1,10,8.6
San Juan County,0.039813446,0.039813446,0.005687635,0.02275054,0.051188716,0.005687635,0,4.3,17.8,16.1,10,9.8,7.8,6.7
Skagit County,0.120738362,0.146279169,0.071978639,0.082814133,0.22290159,0.157888627,0.065786928,5.2,19.1,16.5,11.1,12,9.6,8.2
Skamania County,0.00827609,0.016552181,0,0.033104361,0.388976248,0.033104361,0.057932633,5.1,14.7,15,10.3,12,10.2,8.9
Snohomish County,0.174070015,0.132468376,0.058388265,0.080527149,0.186842448,0.131130312,0.10144961,5.9,19.2,16.2,10.2,8.7,7.7,7.5
Spokane County,0.036534187,0.035386516,0.049732401,0.194721479,0.461554941,0.260903829,0.355204113,5.1,16.7,15.1,9.7,11.3,9.1,7.7
Stevens County,0.010935415,0.008748332,0.004374166,0.026244997,0.14872165,0.08529624,0.131224985,7.7,16.4,13.5,9,11.1,9.1,7.8
Thurston County,0.02168406,0.017209571,0.014800231,0.04577746,0.122532147,0.103601619,0.079164028,4.6,15.9,14.2,8.9,10.3,8.2,7.1
Wahkiakum County,0.02228164,0.02228164,0.04456328,0.04456328,0,0.02228164,0,6.9,13.8,13.7,9.3,11.6,8.7,8.4
Walla Walla County,0.013166557,0.12837393,0.04279131,0.12837393,0.464121132,0.492100066,0.2600395,4.5,12.2,10.7,6.7,8.4,6.9,5.8
Whatcom County,0.07851793,0.059324659,0.037077912,0.10861647,0.121702792,0.082007616,0.118213106,4.7,17.7,15.6,10.3,11.6,9.3,8
Whitman County,0.021954335,0.007983395,0.009979243,0.041912821,0.113763372,1.161583905,1.391106498,3.7,8.3,7.3,6,8,5.9,5.4
Yakima County,0.102442272,0.443252163,1.041562862,1.558557517,0.885707111,0.350775093,0.203290111,6.7,14.3,13.9,11,12.4,10,7.2
